Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),PRM1
1982-12-01,20.5793,25.9649,19.751,19.3091,20.067,178.19
1983-01-01,19.9703,26.8902,18.4993,18.2039,19.6867,184.083
1983-02-01,20.0107,27.6941,18.2785,17.7718,19.8742,292.013
1983-03-01,20.5849,27.4212,18.8111,18.1245,20.3675,338.769
1983-04-01,21.4757,26.6367,18.7258,18.5417,20.4125,132.118
1983-05-01,23.047,25.653,18.9325,20.0575,21.0592,31.6229
1983-06-01,24.8606,24.2048,20.5936,21.8516,22.1804,20.8071
1983-07-01,26.3668,22.8639,22.9802,23.8548,23.8298,23.7752
1983-08-01,26.9186,22.5861,23.8416,25.3906,24.1507,32.7702
1983-09-01,27.0374,22.9987,23.5331,24.6975,24.1758,17.3755
1983-10-01,26.2153,23.4641,21.9442,23.8511,23.1968,48.4334
1983-11-01,25.2161,24.3005,20.4861,22.8006,22.3084,49.9713
1983-12-01,23.3391,25.9234,18.9888,21.7093,20.8029,170.799
1984-01-01,22.1442,27.0111,17.8476,19.9073,20.2063,185.753
1984-02-01,21.2182,27.6582,17.7132,19.0219,19.5574,287.078
1984-03-01,20.7279,27.3824,17.8287,18.3977,19.3065,425.596
1984-04-01,21.0662,26.4317,18.5675,18.4337,19.3768,532.578
1984-05-01,22.2241,25.0656,19.9171,19.0884,20.3633,180.27
1984-06-01,24.006,23.6829,21.6217,20.7159,22.5002,13.7646
1984-07-01,25.1956,22.8099,23.9005,23.3498,23.4303,12.054
1984-08-01,25.6842,22.4667,24.8041,23.8578,23.7358,47.8622
1984-09-01,25.265,22.7641,24.3072,23.5753,23.2702,74.5287
1984-10-01,23.838,23.5874,21.9999,22.6407,22.0653,118.753
1984-11-01,22.4368,24.8171,20.6521,20.5893,21.2398,72.5658
1984-12-01,21.076,25.984,19.4488,18.9002,20.2831,216.627
1985-01-01,19.8982,27.2753,18.3942,18.1977,19.326,376.193
1985-02-01,19.1965,28.148,17.724,17.2183,18.8274,253.501
1985-03-01,19.2429,27.8318,17.6101,16.9071,18.7314,338.622
1985-04-01,20.4629,27.2425,18.7103,17.7765,19.4965,259.946
1985-05-01,22.142,26.1462,19.2825,19.3658,20.3559,164.008
1985-06-01,23.4638,24.8682,20.7828,20.8743,22.0391,25.6582
1985-07-01,24.7284,24.2708,21.4363,22.6113,22.9914,18.9953
1985-08-01,25.9083,23.9853,22.3737,23.362,23.5887,29.9324
1985-09-01,24.7481,24.0066,23.041,24.1041,22.6662,53.265
1985-10-01,23.308,24.5314,22.0056,22.3093,21.9122,51.2965
1985-11-01,21.5934,25.334,20.4531,20.7257,20.8106,157.852
1985-12-01,20.1716,26.1974,18.5193,18.8608,20.0372,392.496
1986-01-01,18.967,27.1748,18.0327,17.9537,18.8805,227.698
1986-02-01,18.7018,27.8414,17.9798,17.0687,18.6828,386.043
1986-03-01,18.9442,27.6148,18.0267,17.0094,19.0011,470.034
1986-04-01,19.8029,26.9294,18.8986,17.2597,19.2962,232.501
1986-05-01,21.6788,25.7216,19.9798,18.6108,20.7862,72.6851
1986-06-01,23.8039,24.6691,20.9935,21.0345,21.9559,143.459
1986-07-01,25.3115,23.6027,23.0588,22.8664,22.9025,9.69544
1986-08-01,25.5193,23.17,24.0531,23.8557,23.1881,21.2098
1986-09-01,24.5093,23.5224,23.3269,23.1279,22.2812,18.2828
1986-10-01,23.0421,24.1708,22.4737,21.5175,21.4888,152.893
1986-11-01,21.3956,24.7879,20.9674,20.2971,20.493,196.804
1986-12-01,19.8431,25.932,19.5081,18.6021,19.6981,245.962
1987-01-01,19.4175,27.5629,19.0068,17.3071,19.448,134.845
1987-02-01,19.0389,27.9099,17.8157,16.8959,19.0487,161.156
1987-03-01,19.2647,27.9409,18.0413,17.0994,19.2433,357.237
1987-04-01,19.9519,27.2313,18.3572,17.8738,19.5621,248.724
1987-05-01,21.7615,26.241,19.3694,19.1989,20.9538,134.749
