,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),TSM-AS20(11),TSM-AS19(11),TSM-AS27(5),TSM-AS18(11),TSM-AS11(11),TSM-AS17(11),TSM-AS35(5),TSM-AS12(11),TSM-PS33(5),TSM-PS27(5),TSM-AS33(5),TSM-AS39(5),TSM-AS36(5),TSM-AS30(5),TSM-AS29(5),TSM-AS5(11),TSM-AS37(5),TSM-AS31(5),TSM-PS32(5),PRM1,PRM2,PRM3,PRM4,PRM5,PRM6,PRM7,PRM8,PRM9,PRM10,PRM11,PRM12,PRM13,PRM14,PRM15,PRM16,PRM17,PRM18,PRM19,PRM20,PRM21,PRM22,PRM23,PRM24
0,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603,60.5603
1,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076,65.1076
2,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146,78.146
3,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688,78.4688
4,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015,66.7015
5,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001,64.01820000000001
6,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858,74.8858
7,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398,71.5398
8,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707,60.1707
9,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999,61.84779999999999
10,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005,74.1005
11,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495,69.6495
12,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995,57.840399999999995
13,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259,60.4259
14,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347,74.6347
15,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947,68.947
16,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995,58.299499999999995
17,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781,60.9781
18,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646,75.8646
