Data,TSM-PS12(5),TSM-AS10(11),TSM-AS34(6),TSM-PS20(6),TSM-PS19(5),TSM-AS20(11),TSM-AS19(11),TSM-AS27(5),TSM-AS18(11),TSM-AS11(11),TSM-AS17(11),TSM-AS35(5),TSM-AS12(11),TSM-PS33(5),TSM-PS27(5),TSM-AS33(5),TSM-AS39(5),TSM-AS36(5),TSM-AS30(5),TSM-AS29(5),TSM-AS5(11),TSM-AS37(5),TSM-AS31(5),TSM-PS32(5),PRM1,PRM2,PRM3,PRM4,PRM5,PRM6,PRM7,PRM8,PRM9,PRM10,PRM11,PRM12,PRM13,PRM14,PRM15,PRM16,PRM17,PRM18,PRM19,PRM20,PRM21,PRM22,PRM23,PRM24
1982-12-01,20.5793,25.9649,19.751,19.3091,20.067,22.6626,23.7538,18.7158,25.3597,26.7906,26.6611,18.1454,26.9409,18.6267,18.0967,17.8314,16.8237,17.6887,20.6613,20.9321,27.1885,17.4326,19.6926,20.1692,178.19,166.44,126.834,99.3504,109.936,155.449,176.932,181.869,169.228,151.687,155.479,183.655,171.314,173.156,174.049,173.542,172.537,160.185,236.461,196.908,188.228,186.269,175.82,155.407
1983-01-01,19.9703,26.8902,18.4993,18.2039,19.6867,23.6206,24.615,17.6094,25.8847,27.6365,26.9958,17.5945,27.1589,18.1017,17.5426,16.9303,15.946,17.276,20.2579,20.4489,27.9953,16.8974,19.2155,19.5556,184.083,190.712,201.287,228.928,236.708,238.94,181.45,194.207,225.814,241.592,232.239,266.639,177.224,195.229,240.479,258.034,268.07,309.315,185.639,193.947,239.981,267.37,281.131,329.373
1983-02-01,20.0107,27.6941,18.2785,17.7718,19.8742,24.1323,25.1708,17.9266,26.3987,28.1135,27.2694,17.9164,27.5408,18.2388,17.7382,17.2062,16.3493,17.422,20.3783,20.7028,28.6357,16.797,19.2192,19.576,292.013,291.122,253.686,189.146,199.752,242.24,292.81,287.585,243.319,221.966,264.118,289.881,284.632,266.527,221.285,208.875,235.053,260.701,280.969,264.662,213.35,194.496,202.255,234.701
1983-03-01,20.5849,27.4212,18.8111,18.1245,20.3675,23.696,24.8512,18.4656,26.2031,27.5871,26.8869,17.8381,27.4859,18.3998,18.295,17.6743,16.8217,17.6078,20.485,20.7289,28.218,17.2448,19.9359,19.8757,338.769,337.34,315.692,274.548,288.031,321.785,336.128,336.205,317.198,307.231,335.953,368.142,324.179,316.116,305.253,306.714,317.652,324.151,248.741,269.122,278.787,298.859,301.082,304.188
1983-04-01,21.4757,26.6367,18.7258,18.5417,20.4125,22.8948,24.3282,18.968,25.4828,25.9994,25.8484,18.4302,26.8537,18.3034,18.9922,18.5479,17.7749,18.3099,21.9774,21.5034,26.8327,18.5813,22.034,20.0856,132.118,136.646,134.401,104.913,95.541,123.107,127.817,122.939,102.812,81.0686,70.3262,74.5391,110.58,100.018,87.3727,79.3388,71.0448,56.843,95.8757,91.2394,84.2987,85.2029,76.3257,64.9608
1983-05-01,23.047,25.653,18.9325,20.0575,21.0592,22.1955,23.6846,20.6794,24.8543,24.2974,25.3874,19.6267,26.5047,19.3762,20.4462,20.8946,19.6153,19.8924,23.866,23.1471,24.3294,20.2587,24.0051,20.5397,31.6229,28.6607,30.2337,35.0212,37.6316,39.3345,28.2805,26.2972,19.5611,13.0178,12.4195,16.7284,33.7398,30.5074,17.1405,7.74125,8.04547,9.00148,42.8648,39.9458,27.7546,27.8384,27.7817,15.2582
1983-06-01,24.8606,24.2048,20.5936,21.8516,22.1804,20.958,22.4835,22.4847,23.87,22.7117,24.8023,21.5224,25.8172,20.9834,22.1436,23.4132,21.2893,20.6686,24.764,24.6858,22.8914,20.881,25.4911,22.4475,20.8071,24.2373,25.888,25.655,24.9411,18.2709,17.4786,14.3702,10.1929,7.9448,5.41838,5.00408,18.6801,15.1925,6.98841,1.84176,0.643455,0.522104,26.7879,19.4894,10.0134,2.66839,1.93794,1.44849
1983-07-01,26.3668,22.8639,22.9802,23.8548,23.8298,19.7478,21.4943,22.8921,23.1387,21.5357,24.2687,23.1653,25.1881,22.1774,23.2333,22.8363,21.2003,23.0249,25.7278,26.1717,22.2572,22.5287,25.2372,23.8991,23.7752,15.4229,8.08006,2.76342,3.04721,9.861,22.861,13.6641,5.77527,2.28257,2.37999,7.0781,23.8456,14.6032,4.93643,2.41842,3.37198,6.5796,16.5689,14.2748,4.9527,2.50139,4.05336,7.28584
1983-08-01,26.9186,22.5861,23.8416,25.3906,24.1507,19.9645,21.5334,22.3119,23.2927,21.6622,24.503,23.3969,25.6522,21.6346,22.7065,21.7489,20.4698,23.4625,25.8865,26.2835,23.221,22.766,24.9318,23.1826,32.7702,15.1027,12.179,18.1752,28.6121,34.0801,47.7316,26.4277,16.0905,20.1287,34.3855,42.5362,57.9443,38.2236,16.3359,13.398,22.4124,33.6776,47.5319,42.6036,16.8181,10.9312,15.0414,27.001
1983-09-01,27.0374,22.9987,23.5331,24.6975,24.1758,20.0101,21.6494,21.676,23.6821,23.0732,24.8794,21.8357,25.9156,21.1212,21.8362,20.9581,19.9321,21.766,24.6521,24.6632,24.3664,22.1399,24.2609,22.062,17.3755,14.0872,17.0704,28.3838,37.5526,39.0605,31.2441,25.6702,26.1332,30.149,39.8358,47.8543,54.4425,39.7196,29.2349,27.236,36.3449,50.824,66.2146,50.9663,32.227,27.4983,36.9139,61.9165
1983-10-01,26.2153,23.4641,21.9442,23.8511,23.1968,20.5089,22.2417,20.7777,24.0988,24.0529,25.6511,20.2005,26.2537,19.9477,20.8283,19.9543,18.618,19.9405,23.0402,23.4281,24.9705,20.0081,22.7006,20.9919,48.4334,50.7698,45.8688,34.6402,30.4604,51.1537,145.417,135.162,116.956,92.0281,62.8226,61.4023,235.959,189.731,153.34,133.807,114.449,99.9384,251.251,207.947,157.64,144.247,126.836,136.346
1983-11-01,25.2161,24.3005,20.4861,22.8006,22.3084,21.7716,23.2297,19.5994,25.0177,25.3023,26.5818,19.0274,26.7961,19.2306,19.3476,18.675,17.7699,18.9027,22.0162,22.1814,25.7974,18.768,21.5557,20.3748,49.9713,35.158,42.0767,61.0036,80.0517,91.5787,78.2144,65.8081,74.9049,85.2488,103.947,108.001,119.159,92.3094,85.4878,85.8145,93.756,97.9245,128.475,115.769,87.2064,85.4908,83.9848,87.5794
1983-12-01,23.3391,25.9234,18.9888,21.7093,20.8029,23.6413,24.7524,18.5411,26.1553,27.2036,27.0135,17.9636,27.2216,17.8742,17.8187,17.6214,16.8458,17.9604,20.929,21.1832,27.0787,17.8003,20.4081,19.1188,170.799,172.62,186.646,208.967,226.067,244.84,169.777,173.092,191.774,201.701,216.85,238.07,157.62,158.433,183.407,191.308,192.017,179.756,138.431,143.367,167.788,181.374,165.027,127.03
1984-01-01,22.1442,27.0111,17.8476,19.9073,20.2063,24.4988,25.8222,18.1924,27.152,28.2734,28.0181,17.2389,27.9519,17.0627,17.6038,17.583,16.5693,17.3076,19.9889,20.4471,27.9548,16.9864,19.5552,18.3827,185.753,194.193,226.382,282.173,300.158,299.361,182.161,192.47,221.593,229.532,201.043,165.727,191.659,192.06,217.197,223.407,203.024,169.217,215.095,192.912,204.532,217.407,205.176,191.904
1984-02-01,21.2182,27.6582,17.7132,19.0219,19.5574,24.3849,25.7381,18.3166,27.0238,28.4501,28.0099,16.905,28.1617,17.1237,17.3933,17.4288,16.0356,16.6537,19.5788,20.0631,27.9583,16.2711,19.1324,18.4627,287.078,295.235,325.079,348.2,367.815,365.588,283.784,275.229,272.888,287.718,315.58,328.422,296.334,266.892,246.117,255.07,288.443,307.637,277.281,264.727,225.877,233.389,247.39,264.386
1984-03-01,20.7279,27.3824,17.8287,18.3977,19.3065,23.7925,25.2422,18.022,26.999,27.9187,27.6858,17.6725,28.2295,17.5951,17.5332,17.4114,16.4038,17.2959,20.0424,20.3013,27.8358,16.9131,19.7524,19.0046,425.596,440.944,444.993,417.819,473.891,584.819,413.284,438.238,485.168,499.597,509.919,513.731,382.59,377.439,432.724,486.003,400.556,346.38,388.673,339.809,341.469,351.698,307.796,286.715
1984-04-01,21.0662,26.4317,18.5675,18.4337,19.3768,23.199,24.761,18.5956,26.0688,25.9699,27.0595,19.1538,27.683,17.6882,17.576,17.9753,17.311,18.8893,21.7333,21.7817,26.2312,18.5702,21.345,19.5196,532.578,520.116,456.653,391.766,396.472,432.363,507.688,486.411,390.772,340.603,338.881,352.236,379.794,349.977,320.327,324.023,315.925,322.378,318.805,294.476,305.733,355.706,358.28,339.989
1984-05-01,22.2241,25.0656,19.9171,19.0884,20.3633,22.3153,23.9161,20.4365,25.1094,23.7095,26.1495,20.6077,26.9116,19.3531,19.334,20.2704,19.0241,20.1921,23.5983,23.0742,23.7866,19.8614,23.2319,21.1866,180.27,188.278,204.272,219.249,213.615,187.323,165.165,159.798,138.158,125.167,116.74,131.324,129.589,110.276,95.2346,88.2809,74.9718,95.0765,94.1427,91.2265,80.5449,65.5476,58.855,89.1543
1984-06-01,24.006,23.6829,21.6217,20.7159,22.5002,21.1367,22.8462,22.4526,24.2414,22.1963,25.2807,22.395,26.1175,21.1238,21.5692,22.0914,20.4648,21.0891,24.6607,25.2081,22.8918,20.6194,23.9542,22.671,13.7646,27.2265,50.6774,55.7144,49.8901,32.2185,16.371,19.3101,22.0334,23.4828,25.7866,21.0692,39.6027,36.2822,25.7767,8.81649,11.2516,14.0084,34.7064,52.5693,40.6933,10.1163,6.66814,6.31302
